Travel Queries Forecast Template - Enhanced with ARIMA Model and Improved Brand Metrics,,,,,,,,,,,
,,,,,,,,,,,
INSTRUCTIONS:,,,,,,,,,,,
1. This template is designed to forecast travel queries for a market using the multi-factor approach and ARIMA model,,,,,,,,,,,
2. Fill in the data in each of the input sheets (Historical Queries, Flight Searches, Media Impressions, Brand Health),,,,,,,,
May,19.14,21.00,22.50,23.93,19.33,9.7%,17.6%,25.0%,1.0%,
June,16.24,17.82,19.09,20.30,16.40,9.7%,17.5%,25.0%,1.0%,
July,19.43,21.32,22.84,24.29,19.62,9.7%,17.6%,25.0%,1.0%,
August,23.95,26.27,28.14,29.94,24.19,9.7%,17.5%,25.0%,1.0%,
September,24.50,26.88,28.80,30.63,24.75,9.7%,17.6%,25.0%,1.0%,
October,26.81,29.42,31.51,33.51,27.08,9.7%,17.5%,25.0%,1.0%,
November,24.54,26.92,28.85,30.68,24.79,9.7%,17.6%,25.0%,1.0%,
December,27.36,30.01,32.16,34.20,27.63,9.7%,17.5%,25.0%,1.0%,
Average,24.69,27.09,29.02,30.86,24.94,9.7%,17.6%,25.0%,1.0%,
,,,,,,,,,,,
====================,,,,,,,,,,,
CONFIDENCE INTERVALS,,,,,,,,,,,
====================,,,,,,,,,,,
Month,ARIMA Forecast,Lower 95% CI,Upper 95% CI,Range Width,,,,,,,
January,31.47,29.90,33.04,3.14,,,,,,,
February,30.10,28.60,31.61,3.01,,,,,,,
March,28.37,26.95,29.79,2.84,,,,,,,
April,23.51,22.33,24.69,2.36,,,,,,,
May,19.33,18.36,20.30,1.94,,,,,,,
June,16.40,15.58,17.22,1.64,,,,,,,
July,19.62,18.64,20.60,1.96,,,,,,,
August,24.19,22.98,25.40,2.42,,,,,,,
September,24.75,23.51,25.99,2.48,,,,,,,
October,27.08,25.73,28.43,2.70,,,,,,,
November,24.79,23.55,26.03,2.48,,,,,,,
December,27.63,26.25,29.01,2.76,,,,,,,
,,,,,,,,,,,
====================,,,,,,,,,,,
ENHANCED BRAND METRICS,,,,,,,,,,,
====================,,,,,,,,,,,
Quarter,Consideration,Intent,Intent/Consideration Ratio,Conversion Efficiency Factor,,,,,,,
Q4 2023,31.53%,23.01%,0.73,1.09,,,,,,,
Q1 2024,31.00%,21.30%,0.69,1.07,,,,,,,
Q2 2024,30.81%,20.00%,0.65,1.05,,,,,,,
Q3 2024,30.10%,14.20%,0.47,0.96,,,,,,,
Q4 2024,31.41%,17.20%,0.55,1.00,,,,,,,
Q1 2025 (Target),31.90%,46.50%,1.46,1.45,,,,,,,
Q2 2025 (Target),32.30%,46.70%,1.45,1.45,,,,,,,
Q3 2025 (Target),32.60%,46.80%,1.44,1.44,,,,,,,
Q4 2025 (Target),33.50%,47.20%,1.41,1.43,,,,,,,
